no,code,name
603,38390,레드캡투어
604,294140,레몬
605,228670,레이
606,228850,레이언스
607,281740,레이크머티리얼즈
608,238120,로고스바이오
609,215100,로보로보
610,90360,로보스타
611,238500,로보쓰리
612,108490,로보티즈
613,900260,로스웰
614,67730,로지시스
615,71280,로체시스템즈
616,32350,롯데관광개발
617,330590,롯데리츠
618,400,롯데손해보험
619,23530,롯데쇼핑
620,4000,롯데정밀화학
621,286940,롯데정보통신
622,280360,롯데제과
623,4990,롯데지주
624,5300,롯데칠성음료
625,11170,롯데케미칼
626,2270,롯데푸드
627,71840,롯데하이마트
628,38060,루멘스
629,82800,루미마이크로
630,162120,루켄테크놀러지스
631,85370,루트로닉
632,60240,룽투코리아
633,58470,리노공업
634,39980,리노스
635,19570,리더스 기술투자
636,16100,리더스코스메틱
637,12700,리드코프
638,302550,리메드
639,277070,린드먼아시아
640,42500,링네트
641,219420,링크제니시스
642,27740,마니커
643,195500,마니커에프앤지
644,305090,마이크로디지탈
645,98120,마이크로컨텍솔
646,227950,마이크로텍
647,147760,마이크로프랜드
648,169330,마크로밀엠브레인
649,38290,마크로젠
650,204320,만도
651,1080,만호제강
652,267980,매일유업
653,5990,매일홀딩스
654,127160,매직마이크로
655,93520,매커스
656,141070,맥스로텍
657,88980,맥쿼리인프라
658,94800,맵스리얼티1
659,100590,머큐리
660,67280,멀티캠퍼스
661,72870,메가스터디
662,215200,메가스터디교육
663,133750,메가엠디
664,235980,메드팩토
665,200580,메디쎄이
666,41920,메디아나
667,233250,메디안디노스틱
668,14100,메디앙스
669,236340,메디젠휴먼케어
670,86900,메디톡스
671,47920,메디포럼제약
672,78160,메디포스트
673,65650,메디프론
674,138040,메리츠금융지주
675,8560,메리츠증권
676,60,메리츠화재
677,21880,메이슨캐피탈
678,140410,메지온
679,241770,메카로
680,90370,메타랩스
681,59210,메타바이오메드
682,327260,메탈라이프
683,58110,멕아이씨에스
684,96640,멜파스
685,17180,명문제약
686,257370,명성티엔에스
687,267060,명진홀딩스
688,12690,모나리자
689,5360,모나미
690,80420,모다이노칩
691,80160,모두투어
692,204210,모두투어리츠
693,100030,모바일리더
694,87260,모바일어플라이언스
695,101330,모베이스
696,12860,모베이스전자
697,250060,모비스
698,33200,모아텍
699,9680,모토닉
700,118990,모트렉스
701,6920,모헨즈
702,9580,무림P&P
703,1810,무림SP
704,9200,무림페이퍼
705,322970,무진메디
706,33920,무학
707,8420,문배철강
708,279600,미디어젠
709,28040,미래SCI
